ÖÖÀà	X	Y
1	100	100
1	100	140
1	100	180
1	100	220
1	100	260
1	100	300
1	100	340
1	140	220
1	180	220
1	220	220
1	260	100
1	260	140
1	260	180
1	260	220
1	260	260
1	260	300
1	260	340
1	320	100
1	360	100
1	400	100
1	440	100
1	480	100
1	320	140
1	320	180
1	320	220
1	360	220
1	400	220
1	440	220
1	480	220
1	320	260
1	320	300
1	320	340
1	360	340
1	400	340
1	440	340
1	480	340
1	540	100
1	540	140
1	540	180
1	540	220
1	540	260
1	540	300
1	540	340
1	580	340
1	620	340
1	660	340
1	700	340
1	760	100
1	760	140
1	760	180
1	760	220
1	760	260
1	760	300
1	760	340
1	800	340
1	840	340
1	880	340
1	920	340
1	980	100
1	980	140
1	980	180
1	980	220
1	980	260
1	980	300
1	980	340
1	1020	100
1	1060	100
1	1100	100
1	1140	100
1	1140	140
1	1140	180
1	1140	220
1	1140	260
1	1140	300
1	1140	340
1	1100	340
1	1060	340
1	1020	340
